doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
209,0.001117,0.001117,0.001117,0.001117,0.001117,0.992180,0.001117,0.001117
210,0.001088,0.001088,0.753984,0.001089,0.001088,0.001088,0.239487,0.001088
211,0.000732,0.000731,0.994877,0.000732,0.000732,0.000733,0.000732,0.000732
212,0.000888,0.000887,0.000888,0.132592,0.000887,0.000887,0.000888,0.862082
213,0.000835,0.000834,0.994158,0.000835,0.000834,0.000834,0.000835,0.000834
214,0.000823,0.222518,0.000823,0.000823,0.000824,0.445749,0.327616,0.000823
215,0.371363,0.001646,0.001647,0.001648,0.175819,0.193954,0.252276,0.001646
216,0.001277,0.001277,0.001277,0.388850,0.001277,0.603489,0.001277,0.001277
217,0.001158,0.001158,0.001158,0.991895,0.001158,0.001158,0.001158,0.001158
218,0.000787,0.038566,0.000788,0.956710,0.000787,0.000787,0.000788,0.000787
219,0.001526,0.001526,0.141678,0.448385,0.402307,0.001525,0.001527,0.001526
220,0.001955,0.001955,0.001958,0.607850,0.001957,0.001956,0.380415,0.001955
221,0.000985,0.000986,0.000985,0.957248,0.036841,0.000985,0.000985,0.000985
222,0.042004,0.001740,0.001738,0.902415,0.001738,0.001737,0.046891,0.001737
223,0.992992,0.001001,0.001002,0.001001,0.001001,0.001001,0.001001,0.001001
224,0.000783,0.563264,0.217408,0.215416,0.000782,0.000782,0.000782,0.000782
225,0.001098,0.001098,0.001098,0.001098,0.992316,0.001098,0.001097,0.001098
226,0.001009,0.387811,0.098110,0.001009,0.001009,0.509032,0.001010,0.001009
227,0.392050,0.000724,0.276186,0.112986,0.135187,0.000724,0.000724,0.081419
228,0.000440,0.000440,0.000440,0.000440,0.000440,0.996917,0.000440,0.000440
229,0.001138,0.476778,0.001138,0.001138,0.001137,0.516396,0.001138,0.001137
230,0.001227,0.001227,0.001228,0.001227,0.991411,0.001228,0.001227,0.001226
231,0.138709,0.001925,0.359020,0.001927,0.001925,0.492642,0.001925,0.001927
232,0.358048,0.001181,0.436191,0.001181,0.001181,0.199857,0.001180,0.001181
233,0.001332,0.001331,0.700624,0.001331,0.001331,0.291387,0.001332,0.001332
234,0.001018,0.001018,0.992876,0.001017,0.001018,0.001018,0.001017,0.001018
235,0.000934,0.000934,0.085191,0.000933,0.909206,0.000935,0.000933,0.000934
236,0.000949,0.000948,0.000949,0.000948,0.963463,0.030849,0.000948,0.000948
237,0.001027,0.001026,0.881922,0.001025,0.001025,0.111923,0.001026,0.001025
238,0.929609,0.001361,0.062226,0.001361,0.001361,0.001361,0.001360,0.001361
239,0.000941,0.000941,0.000941,0.000941,0.993414,0.000941,0.000941,0.000941
240,0.995241,0.000680,0.000680,0.000680,0.000680,0.000680,0.000680,0.000680
241,0.368456,0.001264,0.001264,0.001265,0.143227,0.331737,0.001264,0.151523
242,0.000949,0.000948,0.236133,0.000948,0.000948,0.000949,0.000948,0.758178
243,0.001052,0.001052,0.001052,0.001051,0.093441,0.322724,0.001052,0.578577
244,0.001171,0.001170,0.222617,0.001170,0.514514,0.257020,0.001170,0.001169
245,0.000914,0.000913,0.000914,0.000913,0.763865,0.230653,0.000913,0.000913
246,0.000847,0.000846,0.000846,0.000845,0.702359,0.292567,0.000845,0.000845
247,0.443409,0.001192,0.001193,0.001192,0.082058,0.001193,0.001192,0.468572
248,0.000956,0.000955,0.000955,0.000955,0.993313,0.000956,0.000955,0.000955
249,0.001346,0.001346,0.990580,0.001345,0.001347,0.001346,0.001345,0.001346
250,0.234437,0.001455,0.001456,0.001456,0.227952,0.530333,0.001456,0.001455
251,0.415577,0.025816,0.001346,0.001345,0.105431,0.447794,0.001345,0.001346
252,0.001181,0.001181,0.506101,0.001181,0.212680,0.275313,0.001182,0.001181
253,0.987996,0.001715,0.001716,0.001715,0.001715,0.001716,0.001714,0.001714
254,0.222862,0.055889,0.186066,0.001264,0.001266,0.530123,0.001265,0.001264
255,0.341371,0.059850,0.196527,0.001169,0.001170,0.397574,0.001169,0.001171
256,0.001585,0.001584,0.816772,0.001584,0.173721,0.001586,0.001585,0.001584
257,0.229058,0.001226,0.001227,0.001227,0.763581,0.001227,0.001226,0.001227
258,0.257813,0.001509,0.138904,0.001507,0.001508,0.466885,0.001508,0.130365
259,0.994120,0.000840,0.000840,0.000840,0.000840,0.000840,0.000840,0.000840
260,0.001376,0.001375,0.001375,0.001377,0.001376,0.240834,0.001375,0.750912
261,0.000652,0.000652,0.000652,0.000652,0.000652,0.995438,0.000652,0.000652
262,0.000979,0.000978,0.294759,0.000978,0.270420,0.429931,0.000978,0.000978
263,0.000782,0.000782,0.000782,0.000782,0.556283,0.439024,0.000782,0.000782
264,0.907913,0.001361,0.001361,0.001360,0.001360,0.083923,0.001361,0.001361
265,0.992448,0.001079,0.001079,0.001078,0.001079,0.001079,0.001078,0.001080
266,0.001585,0.001584,0.287647,0.001584,0.001584,0.562192,0.001585,0.142238
267,0.001841,0.001840,0.923391,0.001839,0.001840,0.001842,0.065566,0.001839
268,0.253935,0.001423,0.408582,0.034862,0.001422,0.296929,0.001422,0.001424
269,0.990881,0.001303,0.001303,0.001302,0.001303,0.001303,0.001303,0.001303
270,0.620613,0.001215,0.001216,0.001215,0.001216,0.001215,0.001215,0.372096
271,0.001002,0.001001,0.001001,0.001002,0.001002,0.904575,0.001001,0.089415
272,0.000907,0.000907,0.993650,0.000907,0.000907,0.000907,0.000910,0.000907
273,0.001215,0.001215,0.315537,0.677174,0.001215,0.001215,0.001214,0.001214
274,0.001391,0.001390,0.001391,0.612040,0.001392,0.379617,0.001390,0.001390
275,0.081006,0.000858,0.375494,0.477074,0.062996,0.000857,0.000857,0.000857
276,0.122154,0.001160,0.001160,0.730033,0.001160,0.142016,0.001159,0.001159
277,0.001010,0.119424,0.001010,0.599071,0.001009,0.276457,0.001009,0.001010
278,0.001898,0.001897,0.542071,0.446545,0.001898,0.001897,0.001896,0.001897
279,0.493314,0.001061,0.001061,0.476953,0.001061,0.024428,0.001060,0.001060
280,0.002050,0.002051,0.002050,0.694165,0.293532,0.002050,0.002051,0.002050
281,0.310670,0.002504,0.002503,0.486734,0.002503,0.190077,0.002503,0.002505
282,0.001647,0.001648,0.001648,0.787748,0.202368,0.001646,0.001647,0.001647
283,0.000857,0.000858,0.000857,0.408002,0.586852,0.000857,0.000858,0.000857
284,0.155585,0.001527,0.300611,0.001526,0.001526,0.001527,0.536171,0.001526
285,0.000802,0.175848,0.040264,0.000802,0.000802,0.000802,0.406083,0.374596
286,0.001545,0.001546,0.001545,0.001545,0.001545,0.001545,0.873282,0.117447
287,0.358436,0.000574,0.000574,0.000574,0.000574,0.000574,0.638118,0.000574
288,0.001251,0.001253,0.001251,0.001250,0.001252,0.001251,0.804732,0.187761
289,0.000840,0.049829,0.000840,0.000840,0.000840,0.000840,0.945131,0.000840
290,0.001181,0.001181,0.001181,0.001180,0.001180,0.001182,0.991735,0.001181
291,0.000732,0.000732,0.000732,0.053581,0.000732,0.000732,0.548836,0.393922
292,0.000900,0.206871,0.000901,0.000900,0.000900,0.000900,0.787726,0.000902
293,0.001010,0.001009,0.182394,0.001009,0.001009,0.209075,0.293410,0.311084
294,0.000900,0.000901,0.000900,0.000900,0.000900,0.000900,0.993698,0.000900
295,0.001303,0.001304,0.001304,0.001303,0.001304,0.001303,0.921567,0.070612
296,0.000670,0.269784,0.061720,0.000670,0.000669,0.000669,0.222756,0.443062
297,0.001149,0.001149,0.001149,0.001148,0.001148,0.001148,0.922472,0.070638
298,0.001422,0.155971,0.001423,0.025623,0.001422,0.001422,0.666046,0.146671
299,0.000863,0.000863,0.000863,0.000863,0.000863,0.000863,0.993959,0.000863
300,0.000691,0.995161,0.000691,0.000691,0.000691,0.000691,0.000692,0.000691
301,0.001361,0.909717,0.082119,0.001361,0.001362,0.001360,0.001361,0.001360
302,0.001291,0.001291,0.051971,0.001290,0.001290,0.001290,0.940286,0.001291
303,0.002501,0.002504,0.002501,0.002501,0.002501,0.002501,0.982488,0.002502
304,0.002088,0.630876,0.111054,0.002087,0.002086,0.002087,0.088793,0.160930
305,0.000955,0.000956,0.000955,0.000955,0.000956,0.000955,0.451946,0.542323
306,0.217194,0.767478,0.002555,0.002553,0.002559,0.002553,0.002554,0.002554
307,0.001407,0.001407,0.001406,0.001406,0.001407,0.001406,0.990154,0.001407
308,0.001423,0.001422,0.676542,0.314923,0.001422,0.001422,0.001422,0.001422
309,0.002158,0.194164,0.002160,0.002160,0.269826,0.207548,0.242999,0.078986
310,0.000845,0.000846,0.937374,0.000845,0.000845,0.057553,0.000846,0.000846
311,0.000840,0.403168,0.313164,0.000841,0.015153,0.000840,0.145558,0.120436
312,0.001149,0.001148,0.246851,0.001148,0.425616,0.321793,0.001148,0.001148
313,0.000834,0.000835,0.779696,0.000834,0.000834,0.215298,0.000835,0.000834
314,0.000792,0.165792,0.018775,0.012447,0.000793,0.583063,0.217546,0.000792
315,0.113667,0.548900,0.046901,0.028778,0.000733,0.000732,0.048287,0.212003
316,0.421228,0.078313,0.203061,0.000699,0.000699,0.000700,0.132647,0.162654
317,0.000736,0.221797,0.460176,0.000736,0.000736,0.219792,0.095290,0.000736
318,0.000523,0.000524,0.000523,0.000523,0.000523,0.000523,0.996335,0.000524
319,0.002197,0.194713,0.662349,0.131953,0.002197,0.002198,0.002198,0.002196
320,0.269994,0.360843,0.000900,0.000900,0.000901,0.073574,0.207767,0.085120
321,0.000808,0.000808,0.122000,0.000807,0.000807,0.000808,0.000807,0.873155
322,0.041190,0.290177,0.000955,0.000956,0.278045,0.000955,0.000957,0.386765
323,0.000893,0.420699,0.000893,0.000893,0.367567,0.000893,0.000894,0.207266
324,0.000926,0.765757,0.000927,0.000927,0.000927,0.000926,0.000927,0.228682
325,0.001138,0.393197,0.001138,0.001137,0.341598,0.001138,0.079647,0.181007
326,0.000707,0.709056,0.250012,0.000707,0.000707,0.000707,0.000707,0.037397
327,0.000808,0.000808,0.074884,0.000808,0.000807,0.000807,0.000807,0.920271
328,0.000888,0.584872,0.000888,0.000888,0.000888,0.223303,0.187387,0.000888
329,0.000564,0.358608,0.157644,0.000564,0.261792,0.000564,0.000564,0.219701
